"代码","简称","时间","收盘价(原始币种)","市净率"
"01380.HK","中国金石","2011-03-18","1.9800","26.5133"
"01380.HK","中国金石","2011-03-25","2.1000","28.1202"
"01380.HK","中国金石","2011-04-01","2.2200","29.7270"
"01380.HK","中国金石","2011-04-08","2.1100","28.2541"
"01380.HK","中国金石","2011-04-15","2.0800","27.8524"
"01380.HK","中国金石","2011-04-21","2.2200","29.7270"
"01380.HK","中国金石","2011-04-29","2.1200","28.3880"
"01380.HK","中国金石","2011-05-06","2.0600","27.5846"
"01380.HK","中国金石","2011-05-13","2.0500","27.4507"
"01380.HK","中国金石","2011-05-20","1.7800","23.8352"
"01380.HK","中国金石","2011-05-27","1.7400","23.2996"
"01380.HK","中国金石","2011-06-03","1.8500","24.7725"
"01380.HK","中国金石","2011-06-10","1.7400","23.2996"
"01380.HK","中国金石","2011-06-17","1.7000","22.7640"
"01380.HK","中国金石","2011-06-24","1.6500","22.0944"
"01380.HK","中国金石","2011-06-30","1.5900","21.2910"
"01380.HK","中国金石","2011-07-08","1.6900","22.6300"
"01380.HK","中国金石","2011-07-15","1.6200","21.6927"
"01380.HK","中国金石","2011-07-22","1.5000","20.0858"
"01380.HK","中国金石","2011-07-29","1.4900","19.9519"
"01380.HK","中国金石","2011-08-05","1.4000","18.7468"
"01380.HK","中国金石","2011-08-12","1.2400","16.6043"
"01380.HK","中国金石","2011-08-19","1.3100","17.5416"
"01380.HK","中国金石","2011-08-26","1.3000","17.4077"
"01380.HK","中国金石","2011-09-02","1.4600","19.5502"
"01380.HK","中国金石","2011-09-09","1.3400","17.9434"
"01380.HK","中国金石","2011-09-16","1.1700","15.6670"
"01380.HK","中国金石","2011-09-23","1.0200","13.6584"
"01380.HK","中国金石","2011-09-30","1.0800","14.4618"
"01380.HK","中国金石","2011-10-07","1.0900","14.5957"
"01380.HK","中国金石","2011-10-14","1.2500","16.7382"
"01380.HK","中国金石","2011-10-21","1.0400","13.9262"
"01380.HK","中国金石","2011-10-28","1.3500","18.0773"
"01380.HK","中国金石","2011-11-04","1.2500","16.7382"
"01380.HK","中国金石","2011-11-11","1.2400","16.6043"
"01380.HK","中国金石","2011-11-18","1.3000","17.4077"
"01380.HK","中国金石","2011-11-25","1.1800","15.8009"
"01380.HK","中国金石","2011-12-02","1.2900","17.2738"
"01380.HK","中国金石","2011-12-09","1.2600","16.8696"
"01380.HK","中国金石","2011-12-16","1.2500","16.7357"
"01380.HK","中国金石","2011-12-23","1.2500","16.7357"
"01380.HK","中国金石","2011-12-30","1.1800","15.7985"
"01380.HK","中国金石","2012-01-06","1.1200","1.6246"
"01380.HK","中国金石","2012-01-13","1.0500","1.5231"
"01380.HK","中国金石","2012-01-20","1.0100","1.4458"
"01380.HK","中国金石","2012-01-27","1.0000","1.4315"
"01380.HK","中国金石","2012-02-03","0.9800","1.4029"
"01380.HK","中国金石","2012-02-10","0.9800","1.4029"
"01380.HK","中国金石","2012-02-17","0.8500","1.2144"
"01380.HK","中国金石","2012-02-24","0.9200","1.3144"
"01380.HK","中国金石","2012-03-02","0.9300","1.3287"
"01380.HK","中国金石","2012-03-09","0.8700","1.2429"
"01380.HK","中国金石","2012-03-16","0.8800","1.2572"
"01380.HK","中国金石","2012-03-23","0.6300","0.9001"
"01380.HK","中国金石","2012-03-30","0.3900","0.5572"
"01380.HK","中国金石","2012-04-05","0.4950","0.7072"
"01380.HK","中国金石","2012-04-13","0.5300","0.7572"
"01380.HK","中国金石","2012-04-20","0.4950","0.7072"
"01380.HK","中国金石","2012-04-27","0.4850","0.6929"
"01380.HK","中国金石","2012-05-04","0.4250","0.6072"
"01380.HK","中国金石","2012-05-11","0.3300","0.4715"
"01380.HK","中国金石","2012-05-18","0.3150","0.4500"
"01380.HK","中国金石","2012-05-25","0.2850","0.4072"
"01380.HK","中国金石","2012-06-01","0.3150","0.4451"
"01380.HK","中国金石","2012-06-08","0.2900","0.4097"
"01380.HK","中国金石","2012-06-15","0.2850","0.4027"
"01380.HK","中国金石","2012-06-22","0.3000","0.4239"
"01380.HK","中国金石","2012-06-29","0.2550","0.3603"
"01380.HK","中国金石","2012-07-06","0.2490","0.3518"
"01380.HK","中国金石","2012-07-13","0.2380","0.3363"
"01380.HK","中国金石","2012-07-20","0.2070","0.2925"
"01380.HK","中国金石","2012-07-27","0.1780","0.2515"
"01380.HK","中国金石","2012-08-03","0.2320","0.3278"
"01380.HK","中国金石","2012-08-10","0.3650","0.5157"
"01380.HK","中国金石","2012-08-17","0.3350","0.4733"
"01380.HK","中国金石","2012-08-24","0.3200","0.4521"
"01380.HK","中国金石","2012-08-31","0.2850","0.4027"
"01380.HK","中国金石","2012-09-07","0.2900","0.4097"
"01380.HK","中国金石","2012-09-14","0.3200","0.4521"
"01380.HK","中国金石","2012-09-21","0.2750","0.3886"
"01380.HK","中国金石","2012-09-28","0.2750","0.3886"
"01380.HK","中国金石","2012-10-05","0.2750","0.3886"
"01380.HK","中国金石","2012-10-12","0.2750","0.3886"
"01380.HK","中国金石","2012-10-19","0.2750","0.3886"
"01380.HK","中国金石","2012-10-26","0.2750","0.3886"
"01380.HK","中国金石","2012-11-02","0.2750","0.3886"
"01380.HK","中国金石","2012-11-09","0.2750","0.3886"
"01380.HK","中国金石","2012-11-16","0.2750","0.3886"
"01380.HK","中国金石","2012-11-23","0.2750","0.3886"
"01380.HK","中国金石","2012-11-30","0.2750","0.3886"
"01380.HK","中国金石","2012-12-07","0.2750","0.3886"
"01380.HK","中国金石","2012-12-14","0.2750","0.3886"
"01380.HK","中国金石","2012-12-21","0.2750","0.3886"
"01380.HK","中国金石","2012-12-28","0.2750","0.3886"
"01380.HK","中国金石","2013-01-04","0.2750","0.8273"
"01380.HK","中国金石","2013-01-11","0.2750","0.8273"
"01380.HK","中国金石","2013-01-18","0.2750","0.8273"
"01380.HK","中国金石","2013-01-25","0.2750","0.8273"
"01380.HK","中国金石","2013-02-01","0.2750","0.8273"
"01380.HK","中国金石","2013-02-08","0.2750","0.8273"
"01380.HK","中国金石","2013-02-15","0.2750","0.8273"
"01380.HK","中国金石","2013-02-22","0.2750","0.8273"
"01380.HK","中国金石","2013-03-01","0.2750","0.8273"
"01380.HK","中国金石","2013-03-08","0.2750","0.8273"
"01380.HK","中国金石","2013-03-15","0.2750","0.8273"
"01380.HK","中国金石","2013-03-22","0.2750","0.8273"
"01380.HK","中国金石","2013-03-28","0.2750","0.8273"
"01380.HK","中国金石","2013-04-05","0.2750","0.8273"
"01380.HK","中国金石","2013-04-12","0.2750","0.8273"
"01380.HK","中国金石","2013-04-19","0.2750","0.8273"
"01380.HK","中国金石","2013-04-26","0.2750","0.8273"
"01380.HK","中国金石","2013-05-03","0.2750","0.8273"
"01380.HK","中国金石","2013-05-10","0.2750","0.8273"
"01380.HK","中国金石","2013-05-16","0.2750","0.8273"
"01380.HK","中国金石","2013-05-24","0.2750","0.8273"
"01380.HK","中国金石","2013-05-31","0.2750","0.8273"
"01380.HK","中国金石","2013-06-07","0.2750","0.8273"
"01380.HK","中国金石","2013-06-14","0.2750","0.8273"
"01380.HK","中国金石","2013-06-21","0.2750","0.8273"
"01380.HK","中国金石","2013-06-28","0.2750","0.8273"
"01380.HK","中国金石","2013-07-05","0.2750","0.8273"
"01380.HK","中国金石","2013-07-12","0.2750","0.8273"
"01380.HK","中国金石","2013-07-19","0.2750","0.8273"
"01380.HK","中国金石","2013-07-26","0.2750","0.8273"
"01380.HK","中国金石","2013-08-02","0.2750","0.8273"
"01380.HK","中国金石","2013-08-09","0.2750","0.8273"
"01380.HK","中国金石","2013-08-16","0.2750","0.8273"
"01380.HK","中国金石","2013-08-23","0.2750","0.8273"
"01380.HK","中国金石","2013-08-30","0.2750","0.8273"
"01380.HK","中国金石","2013-09-06","0.2750","0.8273"
"01380.HK","中国金石","2013-09-13","0.2750","0.8273"
"01380.HK","中国金石","2013-09-19","0.2750","0.8273"
"01380.HK","中国金石","2013-09-27","0.2750","0.8273"
"01380.HK","中国金石","2013-10-04","0.2750","0.8273"
"01380.HK","中国金石","2013-10-11","0.2750","0.8273"
"01380.HK","中国金石","2013-10-18","0.2750","0.8273"
"01380.HK","中国金石","2013-10-25","0.2750","0.8273"
"01380.HK","中国金石","2013-11-01","0.2750","0.8273"
"01380.HK","中国金石","2013-11-08","0.2750","0.8273"
"01380.HK","中国金石","2013-11-15","0.2750","0.8273"
"01380.HK","中国金石","2013-11-22","0.2750","0.8273"
"01380.HK","中国金石","2013-11-29","0.2750","0.8273"
"01380.HK","中国金石","2013-12-06","0.2750","0.8273"
"01380.HK","中国金石","2013-12-13","0.2750","0.8273"
"01380.HK","中国金石","2013-12-20","0.2750","0.8273"
"01380.HK","中国金石","2013-12-27","0.2750","0.8273"
"01380.HK","中国金石","2014-01-03","0.2750","1.5733"
"01380.HK","中国金石","2014-01-10","0.2750","1.5733"
"01380.HK","中国金石","2014-01-17","0.2750","1.5733"
"01380.HK","中国金石","2014-01-24","0.2750","1.5733"
"01380.HK","中国金石","2014-01-30","0.2750","1.5733"
"01380.HK","中国金石","2014-02-07","0.2750","1.5733"
"01380.HK","中国金石","2014-02-14","0.2750","1.5733"
"01380.HK","中国金石","2014-02-21","0.2750","1.5733"
"01380.HK","中国金石","2014-02-28","0.2750","1.5733"
"01380.HK","中国金石","2014-03-07","0.2750","1.5733"
"01380.HK","中国金石","2014-03-14","0.2750","1.5733"
"01380.HK","中国金石","2014-03-21","0.2750","1.5733"
"01380.HK","中国金石","2014-03-28","0.2750","1.5733"
"01380.HK","中国金石","2014-04-04","0.2750","1.5733"
"01380.HK","中国金石","2014-04-11","0.1940","1.1099"
"01380.HK","中国金石","2014-04-17","0.1590","0.9096"
"01380.HK","中国金石","2014-04-25","0.1800","1.0298"
"01380.HK","中国金石","2014-05-02","0.1800","1.0354"
"01380.HK","中国金石","2014-05-09","0.1640","0.9434"
"01380.HK","中国金石","2014-05-16","0.1620","0.9319"
"01380.HK","中国金石","2014-05-23","0.2290","1.3173"
"01380.HK","中国金石","2014-05-30","0.2950","1.6970"
"01380.HK","中国金石","2014-06-06","0.2900","1.6682"
"01380.HK","中国金石","2014-06-13","0.2800","1.6107"
"01380.HK","中国金石","2014-06-20","0.2850","1.6394"
"01380.HK","中国金石","2014-06-27","0.2700","1.5532"
"01380.HK","中国金石","2014-07-04","0.2750","1.5819"
"01380.HK","中国金石","2014-07-11","0.2500","1.4381"
"01380.HK","中国金石","2014-07-18","0.2650","1.5244"
"01380.HK","中国金石","2014-07-25","0.2950","1.6970"
"01380.HK","中国金石","2014-08-01","0.2600","1.4956"
"01380.HK","中国金石","2014-08-08","0.2900","1.7023"
"01380.HK","中国金石","2014-08-15","0.2900","1.7023"
"01380.HK","中国金石","2014-08-22","0.2700","1.5849"
"01380.HK","中国金石","2014-08-29","0.2650","1.5555"
"01380.HK","中国金石","2014-09-05","0.2700","1.5849"
"01380.HK","中国金石","2014-09-12","0.2650","1.5555"
"01380.HK","中国金石","2014-09-19","0.2550","1.4968"
"01380.HK","中国金石","2014-09-26","0.2180","1.2796"
"01380.HK","中国金石","2014-10-03","0.2100","1.2327"
"01380.HK","中国金石","2014-10-10","0.2600","1.5262"
"01380.HK","中国金石","2014-10-17","0.2550","1.4968"
"01380.HK","中国金石","2014-10-24","0.2700","1.5849"
"01380.HK","中国金石","2014-10-31","0.2750","1.6142"
"01380.HK","中国金石","2014-11-07","0.2550","1.4968"
"01380.HK","中国金石","2014-11-14","0.2650","1.5555"
"01380.HK","中国金石","2014-11-21","0.2460","1.4797"
"01380.HK","中国金石","2014-11-28","0.2650","1.8889"
"01380.HK","中国金石","2014-12-05","0.2950","2.1027"
"01380.HK","中国金石","2014-12-12","0.2900","2.0670"
"01380.HK","中国金石","2014-12-19","0.2700","1.9245"
"01380.HK","中国金石","2014-12-24","0.2700","1.9245"
"01380.HK","中国金石","2015-01-02","0.2550","1.6254"
"01380.HK","中国金石","2015-01-09","0.2600","1.6573"
"01380.HK","中国金石","2015-01-16","0.2800","1.7848"
"01380.HK","中国金石","2015-01-23","0.2500","1.5936"
"01380.HK","中国金石","2015-01-30","0.2380","1.5171"
"01380.HK","中国金石","2015-02-06","0.2470","1.5744"
"01380.HK","中国金石","2015-02-13","0.2500","1.5936"
"01380.HK","中国金石","2015-02-18","0.2350","1.4979"
"01380.HK","中国金石","2015-02-27","0.2290","1.4597"
"01380.HK","中国金石","2015-03-06","0.2090","1.3322"
"01380.HK","中国金石","2015-03-13","0.2200","1.4023"
"01380.HK","中国金石","2015-03-20","0.2000","1.2748"
"01380.HK","中国金石","2015-03-27","0.2100","1.3386"
"01380.HK","中国金石","2015-04-02","0.2020","1.2876"
"01380.HK","中国金石","2015-04-10","0.2270","1.4469"
"01380.HK","中国金石","2015-04-17","0.2300","1.4661"
"01380.HK","中国金石","2015-04-24","0.2400","1.5298"
"01380.HK","中国金石","2015-04-30","0.2800","1.7848"
"01380.HK","中国金石","2015-05-08","0.2700","1.7210"
"01380.HK","中国金石","2015-05-15","0.2470","1.5744"
"01380.HK","中国金石","2015-05-22","0.2700","1.7210"
"01380.HK","中国金石","2015-05-29","0.3612","2.7250"
"01380.HK","中国金石","2015-06-05","0.3548","2.6772"
"01380.HK","中国金石","2015-06-12","0.3041","2.2947"
"01380.HK","中国金石","2015-06-19","0.2965","2.2374"
"01380.HK","中国金石","2015-06-26","0.3168","2.3903"
"01380.HK","中国金石","2015-07-03","0.1838","1.3864"
"01380.HK","中国金石","2015-07-10","0.2446","1.8453"
"01380.HK","中国金石","2015-07-17","0.2256","1.7019"
"01380.HK","中国金石","2015-07-24","0.1952","1.4724"
"01380.HK","中国金石","2015-07-31","0.2053","1.5489"
"01380.HK","中国金石","2015-08-07","0.1901","1.4342"
"01380.HK","中国金石","2015-08-14","0.2091","1.5776"
"01380.HK","中国金石","2015-08-21","0.1762","1.3290"
"01380.HK","中国金石","2015-08-28","0.1939","1.4629"
"01380.HK","中国金石","2015-09-04","0.1635","1.2334"
"01380.HK","中国金石","2015-09-11","0.1888","1.4246"
"01380.HK","中国金石","2015-09-18","0.1635","1.2334"
"01380.HK","中国金石","2015-09-25","0.1647","1.2430"
"01380.HK","中国金石","2015-10-02","0.1876","1.4151"
"01380.HK","中国金石","2015-10-09","0.2256","1.7019"
"01380.HK","中国金石","2015-10-16","0.2459","1.8549"
"01380.HK","中国金石","2015-10-23","0.2218","1.6732"
"01380.HK","中国金石","2015-10-30","0.2446","1.8453"
"01380.HK","中国金石","2015-11-06","0.2509","1.8931"
"01380.HK","中国金石","2015-11-13","0.2256","1.7019"
"01380.HK","中国金石","2015-11-20","0.1825","1.3768"
"01380.HK","中国金石","2015-11-27","0.1711","1.2908"
"01380.HK","中国金石","2015-12-04","0.1711","1.2908"
"01380.HK","中国金石","2015-12-11","0.1876","1.4151"
"01380.HK","中国金石","2015-12-18","0.1876","1.4151"
"01380.HK","中国金石","2015-12-24","0.2142","1.6159"
"01380.HK","中国金石","2015-12-31","0.1901","2.2222"
"01380.HK","中国金石","2016-01-08","0.1293","1.5111"
"01380.HK","中国金石","2016-01-15","0.0887","1.0370"
"01380.HK","中国金石","2016-01-22","0.0976","1.1407"
"01380.HK","中国金石","2016-01-29","0.0659","0.7704"
"01380.HK","中国金石","2016-02-05","0.1052","1.2296"
"01380.HK","中国金石","2016-02-12","0.1039","1.2148"
"01380.HK","中国金石","2016-02-19","0.0976","1.1407"
"01380.HK","中国金石","2016-02-26","0.0887","1.0370"
"01380.HK","中国金石","2016-03-04","0.0912","1.0667"
"01380.HK","中国金石","2016-03-11","0.1090","1.2741"
"01380.HK","中国金石","2016-03-18","0.0950","1.1111"
"01380.HK","中国金石","2016-03-24","0.0900","1.0518"
"01380.HK","中国金石","2016-04-01","0.0912","1.0667"
"01380.HK","中国金石","2016-04-08","0.0849","0.9926"
"01380.HK","中国金石","2016-04-15","0.0874","1.0222"
"01380.HK","中国金石","2016-04-22","0.0887","1.0370"
"01380.HK","中国金石","2016-04-29","0.0988","1.1556"
"01380.HK","中国金石","2016-05-06","0.1077","1.2593"
"01380.HK","中国金石","2016-05-13","0.1052","1.2296"
"01380.HK","中国金石","2016-05-20","0.0963","1.1259"
"01380.HK","中国金石","2016-05-27","0.0988","1.4984"
"01380.HK","中国金石","2016-06-03","0.0912","1.3831"
"01380.HK","中国金石","2016-06-10","0.1065","1.6137"
"01380.HK","中国金石","2016-06-17","0.1077","1.6329"
"01380.HK","中国金石","2016-06-24","0.1039","1.5752"
"01380.HK","中国金石","2016-06-30","0.1001","1.5176"
"01380.HK","中国金石","2016-07-08","0.0950","1.4408"
"01380.HK","中国金石","2016-07-15","0.0963","1.4600"
"01380.HK","中国金石","2016-07-22","0.1026","1.5560"
"01380.HK","中国金石","2016-07-29","0.0963","1.4600"
"01380.HK","中国金石","2016-08-05","0.1027","1.4792"
"01380.HK","中国金石","2016-08-12","0.1000","1.4408"
"01380.HK","中国金石","2016-08-19","0.0960","1.3831"
"01380.HK","中国金石","2016-08-26","0.0947","1.3639"
"01380.HK","中国金石","2016-09-02","0.0907","1.3063"
"01380.HK","中国金石","2016-09-09","0.0880","1.2679"
"01380.HK","中国金石","2016-09-15","0.0907","1.3063"
"01380.HK","中国金石","2016-09-23","0.0934","1.3447"
"01380.HK","中国金石","2016-09-30","0.0487","0.7012"
"01380.HK","中国金石","2016-10-07","0.0487","0.7012"
"01380.HK","中国金石","2016-10-11","0.0494","0.7108"
"01381.HK","粤丰环保","2015-01-02","2.3500","2.0302"
"01381.HK","粤丰环保","2015-01-09","2.3100","1.9957"
"01381.HK","粤丰环保","2015-01-16","2.3000","1.9870"
"01381.HK","粤丰环保","2015-01-23","2.3500","2.0302"
"01381.HK","粤丰环保","2015-01-30","2.3600","2.0389"
"01381.HK","粤丰环保","2015-02-06","2.2900","1.9784"
"01381.HK","粤丰环保","2015-02-13","2.3000","1.9870"
"01381.HK","粤丰环保","2015-02-18","2.3800","2.0562"
"01381.HK","粤丰环保","2015-02-27","2.3300","2.0130"
"01381.HK","粤丰环保","2015-03-06","2.3400","2.0216"
"01381.HK","粤丰环保","2015-03-13","2.8900","2.4968"
"01381.HK","粤丰环保","2015-03-20","3.0300","2.6177"
"01381.HK","粤丰环保","2015-03-27","3.1000","2.6782"
"01381.HK","粤丰环保","2015-04-02","3.2000","2.7646"
"01381.HK","粤丰环保","2015-04-10","3.3200","2.8683"
"01381.HK","粤丰环保","2015-04-17","4.1300","3.5680"
"01381.HK","粤丰环保","2015-04-24","4.3900","3.7927"
"01381.HK","粤丰环保","2015-04-30","4.5500","3.9309"
"01381.HK","粤丰环保","2015-05-08","4.5400","3.9223"
"01381.HK","粤丰环保","2015-05-15","4.7200","4.0778"
"01381.HK","粤丰环保","2015-05-22","4.5900","3.9655"
"01381.HK","粤丰环保","2015-05-29","4.6400","4.0087"
"01381.HK","粤丰环保","2015-06-05","4.3500","3.7581"
"01381.HK","粤丰环保","2015-06-12","4.1100","3.5508"
"01381.HK","粤丰环保","2015-06-19","3.9600","3.4212"
"01381.HK","粤丰环保","2015-06-26","3.8200","3.3002"
"01381.HK","粤丰环保","2015-07-03","4.0000","3.4557"
"01381.HK","粤丰环保","2015-07-10","3.8400","3.3175"
"01381.HK","粤丰环保","2015-07-17","3.8900","3.3607"
"01381.HK","粤丰环保","2015-07-24","3.9400","3.4039"
"01381.HK","粤丰环保","2015-07-31","3.7500","3.2398"
"01381.HK","粤丰环保","2015-08-07","3.7600","3.2484"
"01381.HK","粤丰环保","2015-08-14","3.7900","3.2743"
"01381.HK","粤丰环保","2015-08-21","3.4200","2.9547"
"01381.HK","粤丰环保","2015-08-28","3.4400","2.9719"
"01381.HK","粤丰环保","2015-09-04","3.4400","2.9719"
"01381.HK","粤丰环保","2015-09-11","3.4500","2.9806"
"01381.HK","粤丰环保","2015-09-18","3.2600","2.8164"
"01381.HK","粤丰环保","2015-09-25","3.3100","2.8596"
"01381.HK","粤丰环保","2015-10-02","3.3800","2.9201"
"01381.HK","粤丰环保","2015-10-09","3.3400","2.8855"
"01381.HK","粤丰环保","2015-10-16","3.2900","2.8423"
"01381.HK","粤丰环保","2015-10-23","3.3000","2.8510"
"01381.HK","粤丰环保","2015-10-30","3.3500","2.8942"
"01381.HK","粤丰环保","2015-11-06","3.1600","2.7300"
"01381.HK","粤丰环保","2015-11-13","3.0000","2.5918"
"01381.HK","粤丰环保","2015-11-20","2.8600","2.4709"
"01381.HK","粤丰环保","2015-11-27","3.0900","2.6696"
"01381.HK","粤丰环保","2015-12-04","3.1400","2.7128"
"01381.HK","粤丰环保","2015-12-11","3.1000","2.6782"
"01381.HK","粤丰环保","2015-12-18","3.1500","2.7214"
"01381.HK","粤丰环保","2015-12-24","3.1500","2.7214"
"01381.HK","粤丰环保","2015-12-31","3.3700","2.8873"
"01381.HK","粤丰环保","2016-01-08","3.1300","2.6816"
"01381.HK","粤丰环保","2016-01-15","3.0500","2.6131"
"01381.HK","粤丰环保","2016-01-22","3.0900","2.6474"
"01381.HK","粤丰环保","2016-01-29","3.0900","2.6474"
"01381.HK","粤丰环保","2016-02-05","3.0200","2.5874"
"01381.HK","粤丰环保","2016-02-12","2.9000","2.4846"
"01381.HK","粤丰环保","2016-02-19","3.0800","2.6388"
"01381.HK","粤丰环保","2016-02-26","3.0900","2.6474"
"01381.HK","粤丰环保","2016-03-04","3.3300","2.8530"
"01381.HK","粤丰环保","2016-03-11","3.5500","3.0415"
"01381.HK","粤丰环保","2016-03-18","3.7000","3.1700"
"01381.HK","粤丰环保","2016-03-24","3.6300","3.1100"
"01381.HK","粤丰环保","2016-04-01","3.5500","3.0415"
"01381.HK","粤丰环保","2016-04-08","3.5700","3.0586"
"01381.HK","粤丰环保","2016-04-15","3.7000","3.1700"
"01381.HK","粤丰环保","2016-04-22","3.5900","3.0757"
"01381.HK","粤丰环保","2016-04-29","3.6200","3.1014"
"01381.HK","粤丰环保","2016-05-06","3.6900","3.1614"
"01381.HK","粤丰环保","2016-05-13","3.5500","3.0415"
"01381.HK","粤丰环保","2016-05-20","3.5700","3.0586"
"01381.HK","粤丰环保","2016-05-27","3.6400","3.1720"
"01381.HK","粤丰环保","2016-06-03","3.5900","3.1284"
"01381.HK","粤丰环保","2016-06-10","3.4500","3.0064"
"01381.HK","粤丰环保","2016-06-17","3.6200","3.1545"
"01381.HK","粤丰环保","2016-06-24","3.5500","3.0935"
"01381.HK","粤丰环保","2016-06-30","3.5000","3.0500"
"01381.HK","粤丰环保","2016-07-08","3.5000","3.0500"
"01381.HK","粤丰环保","2016-07-15","3.4300","2.9890"
"01381.HK","粤丰环保","2016-07-22","3.6700","3.1981"
"01381.HK","粤丰环保","2016-07-29","3.5600","3.1022"
"01381.HK","粤丰环保","2016-08-05","3.5901","3.1110"
"01381.HK","粤丰环保","2016-08-12","3.5901","3.1110"
"01381.HK","粤丰环保","2016-08-19","3.6001","3.1197"
"01381.HK","粤丰环保","2016-08-26","3.5699","3.0935"
"01381.HK","粤丰环保","2016-09-02","3.6906","3.1981"
"01381.HK","粤丰环保","2016-09-09","3.8817","3.3637"
"01381.HK","粤丰环保","2016-09-15","3.7208","3.2242"
"01381.HK","粤丰环保","2016-09-23","3.6513","3.1545"
"01381.HK","粤丰环保","2016-09-30","3.5505","3.0674"
"01381.HK","粤丰环保","2016-10-07","3.7119","3.2068"
"01381.HK","粤丰环保","2016-10-11","3.6614","3.1632"
"01382.HK","互太纺织","2007-05-18","5.2600","5.2315"
"01382.HK","互太纺织","2007-05-25","4.9800","4.9530"
"01382.HK","互太纺织","2007-06-01","4.7900","4.7640"
"01382.HK","互太纺织","2007-06-08","5.1200","5.0922"
"01382.HK","互太纺织","2007-06-15","5.0300","5.0027"
"01382.HK","互太纺织","2007-06-22","4.7000","4.6745"
"01382.HK","互太纺织","2007-06-29","4.8500","4.8237"
"01382.HK","互太纺织","2007-07-06","5.1700","5.1420"
"01382.HK","互太纺织","2007-07-13","5.1000","5.0724"
"01382.HK","互太纺织","2007-07-20","4.7300","4.7044"
"01382.HK","互太纺织","2007-07-27","4.7900","4.7640"
"01382.HK","互太纺织","2007-08-03","4.5300","4.5054"
"01382.HK","互太纺织","2007-08-10","4.7700","4.7441"
"01382.HK","互太纺织","2007-08-17","4.2000","4.1772"
"01382.HK","互太纺织","2007-08-24","4.4500","4.4259"
"01382.HK","互太纺织","2007-08-31","4.4100","4.3861"
"01382.HK","互太纺织","2007-09-07","4.4200","4.3960"
"01382.HK","互太纺织","2007-09-14","4.1900","4.1673"
"01382.HK","互太纺织","2007-09-21","3.9100","3.8888"
"01382.HK","互太纺织","2007-09-28","4.0500","4.0280"
"01382.HK","互太纺织","2007-10-05","3.6900","3.6700"
"01382.HK","互太纺织","2007-10-12","3.5800","3.5606"
"01382.HK","互太纺织","2007-10-18","3.1200","3.1031"
"01382.HK","互太纺织","2007-10-26","3.0600","3.0434"
"01382.HK","互太纺织","2007-11-02","3.1300","3.1130"
"01382.HK","互太纺织","2007-11-09","2.9600","2.9440"
"01382.HK","互太纺织","2007-11-16","2.8200","2.8047"
"01382.HK","互太纺织","2007-11-23","2.5600","2.5461"
"01382.HK","互太纺织","2007-11-30","2.4000","2.3870"
"01382.HK","互太纺织","2007-12-07","2.5000","2.4864"
"01382.HK","互太纺织","2007-12-14","2.6000","2.5859"
"01382.HK","互太纺织","2007-12-21","2.1987","2.1185"
"01382.HK","互太纺织","2007-12-28","2.2297","2.1483"
"01382.HK","互太纺织","2008-01-04","2.2503","1.1000"
"01382.HK","互太纺织","2008-01-11","1.9613","0.9587"
"01382.HK","互太纺织","2008-01-18","2.0026","0.9789"
"01382.HK","互太纺织","2008-01-25","1.9613","0.9587"
"01382.HK","互太纺织","2008-02-01","1.8890","0.9234"
"01382.HK","互太纺织","2008-02-06","1.8477","0.9032"
"01382.HK","互太纺织","2008-02-15","1.8271","0.8931"
"01382.HK","互太纺织","2008-02-22","1.8271","0.8931"
"01382.HK","互太纺织","2008-02-29","1.8271","0.8931"
"01382.HK","互太纺织","2008-03-07","1.6413","0.8023"
"01382.HK","互太纺织","2008-03-14","1.6413","0.8023"
"01382.HK","互太纺织","2008-03-20","1.5484","0.7569"
"01382.HK","互太纺织","2008-03-28","1.5381","0.7518"
"01382.HK","互太纺织","2008-04-03","1.6206","0.7922"
"01382.HK","互太纺织","2008-04-11","1.6413","0.8023"
"01382.HK","互太纺织","2008-04-18","1.7342","0.8477"
"01382.HK","互太纺织","2008-04-25","1.6516","0.8074"
"01382.HK","互太纺织","2008-05-02","1.7032","0.8326"
"01382.HK","互太纺织","2008-05-09","1.7032","0.8326"
"01382.HK","互太纺织","2008-05-16","1.6929","0.8275"
"01382.HK","互太纺织","2008-05-23","1.6103","0.7872"
"01382.HK","互太纺织","2008-05-30","1.6929","0.8275"
"01382.HK","互太纺织","2008-06-06","1.6619","0.8124"
"01382.HK","互太纺织","2008-06-13","1.5794","0.7720"
"01382.HK","互太纺织","2008-06-20","1.5587","0.7619"
"01382.HK","互太纺织","2008-06-27","1.4658","0.7165"
"01382.HK","互太纺织","2008-07-04","1.3316","0.6509"
"01382.HK","互太纺织","2008-07-11","1.3316","0.6509"
"01382.HK","互太纺织","2008-07-18","1.3419","0.6560"
"01382.HK","互太纺织","2008-07-25","1.3419","0.6560"
"01382.HK","互太纺织","2008-08-01","1.3626","0.6661"
"01382.HK","互太纺织","2008-08-08","1.3006","0.6358"
"01382.HK","互太纺织","2008-08-15","1.3213","0.6459"
"01382.HK","互太纺织","2008-08-21","1.2490","0.6106"
"01382.HK","互太纺织","2008-08-29","1.2435","0.5702"
"01382.HK","互太纺织","2008-09-05","1.1335","0.5197"
"01382.HK","互太纺织","2008-09-12","1.1005","0.5046"
"01382.HK","互太纺织","2008-09-19","0.9244","0.4239"
