"代码","简称","时间","收盘价(元)","前收盘价(元)"
"510500.SH","500ETF","2013-03-15","0.9700","0.9680"
"510500.SH","500ETF","2013-03-18","0.9540","0.9700"
"510500.SH","500ETF","2013-03-19","0.9600","0.9540"
"510500.SH","500ETF","2013-03-20","0.9850","0.9600"
"510500.SH","500ETF","2013-03-21","0.9950","0.9850"
"510500.SH","500ETF","2013-03-22","0.9990","0.9950"
"510500.SH","500ETF","2013-03-25","0.9960","0.9990"
"510500.SH","500ETF","2013-03-26","0.9860","0.9960"
"510500.SH","500ETF","2013-03-27","0.9890","0.9860"
"510500.SH","500ETF","2013-03-28","0.9620","0.9890"
"510500.SH","500ETF","2013-03-29","0.9630","0.9620"
"510500.SH","500ETF","2013-04-01","0.9680","0.9630"
"510500.SH","500ETF","2013-04-02","0.9570","0.9680"
"510500.SH","500ETF","2013-04-03","0.9510","0.9570"
"510500.SH","500ETF","2013-04-08","0.9530","0.9510"
"510500.SH","500ETF","2013-04-09","0.9620","0.9530"
"510500.SH","500ETF","2013-04-10","0.9590","0.9620"
"510500.SH","500ETF","2013-04-11","0.9570","0.9590"
"510500.SH","500ETF","2013-04-12","0.9490","0.9570"
"510500.SH","500ETF","2013-04-15","0.9320","0.9490"
"510500.SH","500ETF","2013-04-16","0.9430","0.9320"
"510500.SH","500ETF","2013-04-17","0.9510","0.9430"
"510500.SH","500ETF","2013-04-18","0.9540","0.9510"
"510500.SH","500ETF","2013-04-19","0.9740","0.9540"
"510500.SH","500ETF","2013-04-22","0.9800","0.9740"
"510500.SH","500ETF","2013-04-23","0.9520","0.9800"
"510500.SH","500ETF","2013-04-24","0.9710","0.9520"
"510500.SH","500ETF","2013-04-25","0.9590","0.9710"
"510500.SH","500ETF","2013-04-26","0.9430","0.9590"
"510500.SH","500ETF","2013-05-02","0.9460","0.9430"
"510500.SH","500ETF","2013-05-03","0.9660","0.9460"
"510500.SH","500ETF","2013-05-06","0.9830","0.9660"
"510500.SH","500ETF","2013-05-07","0.9850","0.9830"
"510500.SH","500ETF","2013-05-08","0.9950","0.9850"
"510500.SH","500ETF","2013-05-09","0.9950","0.9950"
"510500.SH","500ETF","2013-05-10","1.0010","0.9950"
"510500.SH","500ETF","2013-05-13","1.0040","1.0010"
"510500.SH","500ETF","2013-05-14","0.9930","1.0040"
"510500.SH","500ETF","2013-05-15","1.0080","0.9930"
"510500.SH","500ETF","2013-05-16","1.0190","1.0080"
"510500.SH","500ETF","2013-05-17","1.0330","1.0190"
"510500.SH","500ETF","2013-05-20","1.0460","1.0330"
"510500.SH","500ETF","2013-05-21","1.0580","1.0460"
"510500.SH","500ETF","2013-05-22","1.0500","1.0580"
"510500.SH","500ETF","2013-05-23","1.0420","1.0500"
"510500.SH","500ETF","2013-05-24","1.0570","1.0420"
"510500.SH","500ETF","2013-05-27","1.0670","1.0570"
"510500.SH","500ETF","2013-05-28","1.0710","1.0670"
"510500.SH","500ETF","2013-05-29","1.0770","1.0710"
"510500.SH","500ETF","2013-05-30","1.0800","1.0770"
"510500.SH","500ETF","2013-05-31","1.0760","1.0800"
"510500.SH","500ETF","2013-06-03","1.0690","1.0760"
"510500.SH","500ETF","2013-06-04","1.0470","1.0690"
"510500.SH","500ETF","2013-06-05","1.0510","1.0470"
"510500.SH","500ETF","2013-06-06","1.0320","1.0510"
"510500.SH","500ETF","2013-06-07","1.0130","1.0320"
