"代码","简称","时间","收盘价(元)","前收盘价(元)"
"510500.SH","500ETF","2013-06-13","0.9840","1.0130"
"510500.SH","500ETF","2013-06-14","1.0060","0.9840"
"510500.SH","500ETF","2013-06-17","1.0060","1.0060"
"510500.SH","500ETF","2013-06-18","1.0090","1.0060"
"510500.SH","500ETF","2013-06-19","1.0050","1.0090"
"510500.SH","500ETF","2013-06-20","0.9730","1.0050"
"510500.SH","500ETF","2013-06-21","0.9660","0.9730"
"510500.SH","500ETF","2013-06-24","0.9080","0.9660"
"510500.SH","500ETF","2013-06-25","0.9040","0.9080"
"510500.SH","500ETF","2013-06-26","0.9220","0.9040"
"510500.SH","500ETF","2013-06-27","0.9060","0.9220"
"510500.SH","500ETF","2013-06-28","0.9080","0.9060"
"510500.SH","500ETF","2013-07-01","0.9250","0.9080"
"510500.SH","500ETF","2013-07-02","0.9420","0.9250"
"510500.SH","500ETF","2013-07-03","0.9420","0.9420"
"510500.SH","500ETF","2013-07-04","0.9500","0.9420"
"510500.SH","500ETF","2013-07-05","0.9460","0.9500"
"510500.SH","500ETF","2013-07-08","0.9110","0.9460"
"510500.SH","500ETF","2013-07-09","0.9140","0.9110"
"510500.SH","500ETF","2013-07-10","0.9430","0.9140"
"510500.SH","500ETF","2013-07-11","0.9710","0.9430"
"510500.SH","500ETF","2013-07-12","0.9630","0.9710"
"510500.SH","500ETF","2013-07-15","0.9800","0.9630"
"510500.SH","500ETF","2013-07-16","0.9920","0.9800"
"510500.SH","500ETF","2013-07-17","0.9790","0.9920"
"510500.SH","500ETF","2013-07-18","0.9770","0.9790"
"510500.SH","500ETF","2013-07-19","0.9550","0.9770"
"510500.SH","500ETF","2013-07-22","0.9730","0.9550"
"510500.SH","500ETF","2013-07-23","0.9960","0.9730"
"510500.SH","500ETF","2013-07-24","1.0010","0.9960"
"510500.SH","500ETF","2013-07-25","0.9840","1.0010"
"510500.SH","500ETF","2013-07-26","0.9820","0.9840"
"510500.SH","500ETF","2013-07-29","0.9620","0.9820"
"510500.SH","500ETF","2013-07-30","0.9570","0.9620"
"510500.SH","500ETF","2013-07-31","0.9630","0.9570"
"510500.SH","500ETF","2013-08-01","0.9900","0.9630"
"510500.SH","500ETF","2013-08-02","0.9920","0.9900"
"510500.SH","500ETF","2013-08-05","1.0090","0.9920"
"510500.SH","500ETF","2013-08-06","1.0190","1.0090"
"510500.SH","500ETF","2013-08-07","1.0060","1.0190"
"510500.SH","500ETF","2013-08-08","1.0080","1.0060"
"510500.SH","500ETF","2013-08-09","1.0130","1.0080"
"510500.SH","500ETF","2013-08-12","1.0310","1.0130"
"510500.SH","500ETF","2013-08-13","1.0350","1.0310"
"510500.SH","500ETF","2013-08-14","1.0300","1.0350"
"510500.SH","500ETF","2013-08-15","1.0170","1.0300"
"510500.SH","500ETF","2013-08-16","0.9950","1.0170"
"510500.SH","500ETF","2013-08-19","1.0120","0.9950"
"510500.SH","500ETF","2013-08-20","1.0060","1.0120"
"510500.SH","500ETF","2013-08-21","1.0130","1.0060"
"510500.SH","500ETF","2013-08-22","1.0180","1.0130"
"510500.SH","500ETF","2013-08-23","1.0150","1.0180"
"510500.SH","500ETF","2013-08-26","1.0370","1.0150"
"510500.SH","500ETF","2013-08-27","1.0450","1.0370"
"510500.SH","500ETF","2013-08-28","1.0390","1.0450"
"510500.SH","500ETF","2013-08-29","1.0390","1.0390"
"510500.SH","500ETF","2013-08-30","1.0280","1.0390"
"510500.SH","500ETF","2013-09-02","1.0300","1.0280"
"510500.SH","500ETF","2013-09-03","1.0500","1.0300"
"510500.SH","500ETF","2013-09-04","1.0490","1.0500"
"510500.SH","500ETF","2013-09-05","1.0550","1.0490"
"510500.SH","500ETF","2013-09-06","1.0630","1.0550"
"510500.SH","500ETF","2013-09-09","1.0710","1.0630"
"510500.SH","500ETF","2013-09-10","1.0800","1.0710"
"510500.SH","500ETF","2013-09-11","1.0760","1.0800"
"510500.SH","500ETF","2013-09-12","1.0700","1.0760"
"510500.SH","500ETF","2013-09-13","1.0730","1.0700"
"510500.SH","500ETF","2013-09-16","1.0720","1.0730"
"510500.SH","500ETF","2013-09-17","1.0690","1.0720"
"510500.SH","500ETF","2013-09-18","1.0720","1.0690"
"510500.SH","500ETF","2013-09-23","1.0930","1.0720"
"510500.SH","500ETF","2013-09-24","1.0930","1.0930"
"510500.SH","500ETF","2013-09-25","1.0950","1.0930"
"510500.SH","500ETF","2013-09-26","1.0820","1.0950"
"510500.SH","500ETF","2013-09-27","1.0760","1.0820"
"510500.SH","500ETF","2013-09-30","1.0990","1.0760"
"510500.SH","500ETF","2013-10-08","1.1030","1.0990"
"510500.SH","500ETF","2013-10-09","1.1160","1.1030"
"510500.SH","500ETF","2013-10-10","1.1110","1.1160"
"510500.SH","500ETF","2013-10-11","1.1280","1.1110"
"510500.SH","500ETF","2013-10-14","1.1390","1.1280"
"510500.SH","500ETF","2013-10-15","1.1420","1.1390"
"510500.SH","500ETF","2013-10-16","1.1100","1.1420"
"510500.SH","500ETF","2013-10-17","1.1020","1.1100"
"510500.SH","500ETF","2013-10-18","1.1130","1.1020"
"510500.SH","500ETF","2013-10-21","1.1400","1.1130"
"510500.SH","500ETF","2013-10-22","1.1290","1.1400"
"510500.SH","500ETF","2013-10-23","1.1010","1.1290"
"510500.SH","500ETF","2013-10-24","1.0970","1.1010"
"510500.SH","500ETF","2013-10-25","1.0680","1.0970"
"510500.SH","500ETF","2013-10-28","1.0660","1.0680"
"510500.SH","500ETF","2013-10-29","1.0370","1.0660"
"510500.SH","500ETF","2013-10-30","1.0540","1.0370"
"510500.SH","500ETF","2013-10-31","1.0420","1.0540"
"510500.SH","500ETF","2013-11-01","1.0380","1.0420"
"510500.SH","500ETF","2013-11-04","1.0430","1.0380"
"510500.SH","500ETF","2013-11-05","1.0570","1.0430"
"510500.SH","500ETF","2013-11-06","1.0490","1.0570"
"510500.SH","500ETF","2013-11-07","1.0330","1.0490"
"510500.SH","500ETF","2013-11-08","1.0180","1.0330"
"510500.SH","500ETF","2013-11-11","1.0220","1.0180"
"510500.SH","500ETF","2013-11-12","1.0300","1.0220"
"510500.SH","500ETF","2013-11-13","1.0130","1.0300"
"510500.SH","500ETF","2013-11-14","1.0250","1.0130"
"510500.SH","500ETF","2013-11-15","1.0470","1.0250"
"510500.SH","500ETF","2013-11-18","1.0710","1.0470"
"510500.SH","500ETF","2013-11-19","1.0760","1.0710"
"510500.SH","500ETF","2013-11-20","1.0870","1.0760"
"510500.SH","500ETF","2013-11-21","1.0830","1.0870"
"510500.SH","500ETF","2013-11-22","1.0770","1.0830"
"510500.SH","500ETF","2013-11-25","1.0730","1.0770"
"510500.SH","500ETF","2013-11-26","1.0770","1.0730"
"510500.SH","500ETF","2013-11-27","1.0880","1.0770"
"510500.SH","500ETF","2013-11-28","1.0990","1.0880"
"510500.SH","500ETF","2013-11-29","1.1040","1.0990"
"510500.SH","500ETF","2013-12-02","1.0570","1.1040"
"510500.SH","500ETF","2013-12-03","1.0800","1.0570"
"510500.SH","500ETF","2013-12-04","1.1000","1.0800"
"510500.SH","500ETF","2013-12-05","1.1000","1.1000"
"510500.SH","500ETF","2013-12-06","1.0980","1.1000"
"510500.SH","500ETF","2013-12-09","1.1050","1.0980"
"510500.SH","500ETF","2013-12-10","1.1050","1.1050"
"510500.SH","500ETF","2013-12-11","1.0940","1.1050"
"510500.SH","500ETF","2013-12-12","1.0960","1.0940"
"510500.SH","500ETF","2013-12-13","1.0980","1.0960"
"510500.SH","500ETF","2013-12-16","1.0790","1.0980"
"510500.SH","500ETF","2013-12-17","1.0720","1.0790"
"510500.SH","500ETF","2013-12-18","1.0700","1.0720"
"510500.SH","500ETF","2013-12-19","1.0620","1.0700"
"510500.SH","500ETF","2013-12-20","1.0480","1.0620"
"510500.SH","500ETF","2013-12-23","1.0460","1.0480"
"510500.SH","500ETF","2013-12-24","1.0520","1.0460"
"510500.SH","500ETF","2013-12-25","1.0650","1.0520"
"510500.SH","500ETF","2013-12-26","1.0460","1.0650"
"510500.SH","500ETF","2013-12-27","1.0630","1.0460"
"510500.SH","500ETF","2013-12-30","1.0660","1.0630"
"510500.SH","500ETF","2013-12-31","1.0710","1.0660"
"510500.SH","500ETF","2014-01-02","1.0770","1.0710"
"510500.SH","500ETF","2014-01-03","1.0700","1.0770"
"510500.SH","500ETF","2014-01-06","1.0400","1.0700"
"510500.SH","500ETF","2014-01-07","1.0440","1.0400"
"510500.SH","500ETF","2014-01-08","1.0450","1.0440"
"510500.SH","500ETF","2014-01-09","1.0350","1.0450"
"510500.SH","500ETF","2014-01-10","1.0150","1.0350"
"510500.SH","500ETF","2014-01-13","1.0100","1.0150"
"510500.SH","500ETF","2014-01-14","1.0280","1.0100"
"510500.SH","500ETF","2014-01-15","1.0340","1.0280"
"510500.SH","500ETF","2014-01-16","1.0400","1.0340"
"510500.SH","500ETF","2014-01-17","1.0260","1.0400"
"510500.SH","500ETF","2014-01-20","1.0190","1.0260"
"510500.SH","500ETF","2014-01-21","1.0310","1.0190"
"510500.SH","500ETF","2014-01-22","1.0620","1.0310"
"510500.SH","500ETF","2014-01-23","1.0700","1.0620"
"510500.SH","500ETF","2014-01-24","1.0870","1.0700"
"510500.SH","500ETF","2014-01-27","1.0860","1.0870"
"510500.SH","500ETF","2014-01-28","1.0840","1.0860"
"510500.SH","500ETF","2014-01-29","1.0920","1.0840"
"510500.SH","500ETF","2014-01-30","1.0860","1.0920"
"510500.SH","500ETF","2014-02-07","1.1070","1.0860"
"510500.SH","500ETF","2014-02-10","1.1390","1.1070"
"510500.SH","500ETF","2014-02-11","1.1420","1.1390"
"510500.SH","500ETF","2014-02-12","1.1540","1.1420"
"510500.SH","500ETF","2014-02-13","1.1370","1.1540"
"510500.SH","500ETF","2014-02-14","1.1560","1.1370"
"510500.SH","500ETF","2014-02-17","1.1780","1.1560"
"510500.SH","500ETF","2014-02-18","1.1750","1.1780"
"510500.SH","500ETF","2014-02-19","1.1760","1.1750"
"510500.SH","500ETF","2014-02-20","1.1590","1.1760"
"510500.SH","500ETF","2014-02-21","1.1520","1.1590"
"510500.SH","500ETF","2014-02-24","1.1470","1.1520"
"510500.SH","500ETF","2014-02-25","1.1070","1.1470"
"510500.SH","500ETF","2014-02-26","1.1130","1.1070"
"510500.SH","500ETF","2014-02-27","1.0980","1.1130"
"510500.SH","500ETF","2014-02-28","1.1100","1.0980"
"510500.SH","500ETF","2014-03-03","1.1330","1.1100"
"510500.SH","500ETF","2014-03-04","1.1320","1.1330"
"510500.SH","500ETF","2014-03-05","1.1260","1.1320"
"510500.SH","500ETF","2014-03-06","1.1250","1.1260"
"510500.SH","500ETF","2014-03-07","1.1210","1.1250"
"510500.SH","500ETF","2014-03-10","1.0790","1.1210"
"510500.SH","500ETF","2014-03-11","1.0800","1.0790"
"510500.SH","500ETF","2014-03-12","1.0800","1.0800"
"510500.SH","500ETF","2014-03-13","1.0920","1.0800"
"510500.SH","500ETF","2014-03-14","1.0850","1.0920"
"510500.SH","500ETF","2014-03-17","1.1090","1.0850"
"510500.SH","500ETF","2014-03-18","1.1150","1.1090"
"510500.SH","500ETF","2014-03-19","1.1110","1.1150"
"510500.SH","500ETF","2014-03-20","1.0830","1.1110"
"510500.SH","500ETF","2014-03-21","1.1030","1.0830"
"510500.SH","500ETF","2014-03-24","1.1130","1.1030"
"510500.SH","500ETF","2014-03-25","1.1130","1.1130"
"510500.SH","500ETF","2014-03-26","1.1170","1.1130"
"510500.SH","500ETF","2014-03-27","1.1020","1.1170"
"510500.SH","500ETF","2014-03-28","1.0780","1.1020"
"510500.SH","500ETF","2014-03-31","1.0720","1.0780"
"510500.SH","500ETF","2014-04-01","1.0890","1.0720"
"510500.SH","500ETF","2014-04-02","1.0900","1.0890"
"510500.SH","500ETF","2014-04-03","1.0880","1.0900"
"510500.SH","500ETF","2014-04-04","1.0990","1.0880"
"510500.SH","500ETF","2014-04-08","1.1120","1.0990"
"510500.SH","500ETF","2014-04-09","1.1220","1.1120"
"510500.SH","500ETF","2014-04-10","1.1270","1.1220"
"510500.SH","500ETF","2014-04-11","1.1220","1.1270"
"510500.SH","500ETF","2014-04-14","1.1310","1.1220"
"510500.SH","500ETF","2014-04-15","1.1230","1.1310"
"510500.SH","500ETF","2014-04-16","1.1220","1.1230"
"510500.SH","500ETF","2014-04-17","1.1210","1.1220"
"510500.SH","500ETF","2014-04-18","1.1260","1.1210"
"510500.SH","500ETF","2014-04-21","1.1070","1.1260"
"510500.SH","500ETF","2014-04-22","1.1010","1.1070"
"510500.SH","500ETF","2014-04-23","1.0960","1.1010"
"510500.SH","500ETF","2014-04-24","1.0850","1.0960"
"510500.SH","500ETF","2014-04-25","1.0610","1.0850"
"510500.SH","500ETF","2014-04-28","1.0290","1.0610"
"510500.SH","500ETF","2014-04-29","1.0430","1.0290"
"510500.SH","500ETF","2014-04-30","1.0510","1.0430"
"510500.SH","500ETF","2014-05-05","1.0600","1.0510"
"510500.SH","500ETF","2014-05-06","1.0640","1.0600"
"510500.SH","500ETF","2014-05-07","1.0470","1.0640"
"510500.SH","500ETF","2014-05-08","1.0480","1.0470"
"510500.SH","500ETF","2014-05-09","1.0380","1.0480"
"510500.SH","500ETF","2014-05-12","1.0650","1.0380"
"510500.SH","500ETF","2014-05-13","1.0630","1.0650"
"510500.SH","500ETF","2014-05-14","1.0600","1.0630"
"510500.SH","500ETF","2014-05-15","1.0430","1.0600"
"510500.SH","500ETF","2014-05-16","1.0410","1.0430"
"510500.SH","500ETF","2014-05-19","1.0330","1.0410"
"510500.SH","500ETF","2014-05-20","1.0380","1.0330"
"510500.SH","500ETF","2014-05-21","1.0470","1.0380"
"510500.SH","500ETF","2014-05-22","1.0470","1.0470"
"510500.SH","500ETF","2014-05-23","1.0600","1.0470"
"510500.SH","500ETF","2014-05-26","1.0710","1.0600"
"510500.SH","500ETF","2014-05-27","1.0670","1.0710"
"510500.SH","500ETF","2014-05-28","1.0800","1.0670"
"510500.SH","500ETF","2014-05-29","1.0680","1.0800"
"510500.SH","500ETF","2014-05-30","1.0710","1.0680"
"510500.SH","500ETF","2014-06-03","1.0680","1.0710"
"510500.SH","500ETF","2014-06-04","1.0600","1.0680"
"510500.SH","500ETF","2014-06-05","1.0720","1.0600"
"510500.SH","500ETF","2014-06-06","1.0690","1.0720"
"510500.SH","500ETF","2014-06-09","1.0610","1.0690"
"510500.SH","500ETF","2014-06-10","1.0750","1.0610"
"510500.SH","500ETF","2014-06-11","1.0800","1.0750"
"510500.SH","500ETF","2014-06-12","1.0780","1.0800"
"510500.SH","500ETF","2014-06-13","1.0900","1.0780"
"510500.SH","500ETF","2014-06-16","1.0950","1.0900"
"510500.SH","500ETF","2014-06-17","1.0860","1.0950"
"510500.SH","500ETF","2014-06-18","1.0810","1.0860"
"510500.SH","500ETF","2014-06-19","1.0510","1.0810"
"510500.SH","500ETF","2014-06-20","1.0610","1.0510"
"510500.SH","500ETF","2014-06-23","1.0690","1.0610"
"510500.SH","500ETF","2014-06-24","1.0760","1.0690"
"510500.SH","500ETF","2014-06-25","1.0700","1.0760"
"510500.SH","500ETF","2014-06-26","1.0840","1.0700"
"510500.SH","500ETF","2014-06-27","1.0900","1.0840"
"510500.SH","500ETF","2014-06-30","1.1010","1.0900"
"510500.SH","500ETF","2014-07-01","1.1090","1.1010"
"510500.SH","500ETF","2014-07-02","1.1170","1.1090"
"510500.SH","500ETF","2014-07-03","1.1280","1.1170"
"510500.SH","500ETF","2014-07-04","1.1250","1.1280"
"510500.SH","500ETF","2014-07-07","1.1270","1.1250"
"510500.SH","500ETF","2014-07-08","1.1350","1.1270"
"510500.SH","500ETF","2014-07-09","1.1180","1.1350"
"510500.SH","500ETF","2014-07-10","1.1170","1.1180"
"510500.SH","500ETF","2014-07-11","1.1320","1.1170"
"510500.SH","500ETF","2014-07-14","1.1480","1.1320"
"510500.SH","500ETF","2014-07-15","1.1500","1.1480"
"510500.SH","500ETF","2014-07-16","1.1410","1.1500"
"510500.SH","500ETF","2014-07-17","1.1330","1.1410"
"510500.SH","500ETF","2014-07-18","1.1350","1.1330"
"510500.SH","500ETF","2014-07-21","1.1320","1.1350"
"510500.SH","500ETF","2014-07-22","1.1480","1.1320"
"510500.SH","500ETF","2014-07-23","1.1400","1.1480"
"510500.SH","500ETF","2014-07-24","1.1390","1.1400"
"510500.SH","500ETF","2014-07-25","1.1490","1.1390"
"510500.SH","500ETF","2014-07-28","1.1690","1.1490"
"510500.SH","500ETF","2014-07-29","1.1800","1.1690"
"510500.SH","500ETF","2014-07-30","1.1820","1.1800"
"510500.SH","500ETF","2014-07-31","1.1960","1.1820"
"510500.SH","500ETF","2014-08-01","1.1850","1.1960"
"510500.SH","500ETF","2014-08-04","1.2010","1.1850"
"510500.SH","500ETF","2014-08-05","1.2060","1.2010"
"510500.SH","500ETF","2014-08-06","1.2150","1.2060"
"510500.SH","500ETF","2014-08-07","1.2040","1.2150"
"510500.SH","500ETF","2014-08-08","1.2100","1.2040"
"510500.SH","500ETF","2014-08-11","1.2290","1.2100"
"510500.SH","500ETF","2014-08-12","1.2360","1.2290"
"510500.SH","500ETF","2014-08-13","1.2360","1.2360"
"510500.SH","500ETF","2014-08-14","1.2280","1.2360"
"510500.SH","500ETF","2014-08-15","1.2430","1.2280"
"510500.SH","500ETF","2014-08-18","1.2610","1.2430"
"510500.SH","500ETF","2014-08-19","1.2640","1.2610"
"510500.SH","500ETF","2014-08-20","1.2640","1.2640"
"510500.SH","500ETF","2014-08-21","1.2620","1.2640"
"510500.SH","500ETF","2014-08-22","1.2700","1.2620"
"510500.SH","500ETF","2014-08-25","1.2600","1.2700"
"510500.SH","500ETF","2014-08-26","1.2400","1.2600"
"510500.SH","500ETF","2014-08-27","1.2410","1.2400"
"510500.SH","500ETF","2014-08-28","1.2300","1.2410"
"510500.SH","500ETF","2014-08-29","1.2450","1.2300"
"510500.SH","500ETF","2014-09-01","1.2660","1.2450"
"510500.SH","500ETF","2014-09-02","1.2860","1.2660"
"510500.SH","500ETF","2014-09-03","1.2960","1.2860"
"510500.SH","500ETF","2014-09-04","1.3050","1.2960"
"510500.SH","500ETF","2014-09-05","1.3110","1.3050"
"510500.SH","500ETF","2014-09-09","1.3210","1.3110"
"510500.SH","500ETF","2014-09-10","1.3230","1.3210"
"510500.SH","500ETF","2014-09-11","1.3210","1.3230"
"510500.SH","500ETF","2014-09-12","1.3370","1.3210"
"510500.SH","500ETF","2014-09-15","1.3490","1.3370"
"510500.SH","500ETF","2014-09-16","1.3050","1.3490"
"510500.SH","500ETF","2014-09-17","1.3160","1.3050"
"510500.SH","500ETF","2014-09-18","1.3250","1.3160"
"510500.SH","500ETF","2014-09-19","1.3370","1.3250"
"510500.SH","500ETF","2014-09-22","1.3180","1.3370"
"510500.SH","500ETF","2014-09-23","1.3360","1.3180"
"510500.SH","500ETF","2014-09-24","1.3540","1.3360"
"510500.SH","500ETF","2014-09-25","1.3520","1.3540"
"510500.SH","500ETF","2014-09-26","1.3570","1.3520"
"510500.SH","500ETF","2014-09-29","1.3720","1.3570"
"510500.SH","500ETF","2014-09-30","1.3810","1.3720"
"510500.SH","500ETF","2014-10-08","1.4050","1.3810"
"510500.SH","500ETF","2014-10-09","1.4060","1.4050"
"510500.SH","500ETF","2014-10-10","1.3990","1.4060"
"510500.SH","500ETF","2014-10-13","1.4000","1.3990"
"510500.SH","500ETF","2014-10-14","1.3940","1.4000"
"510500.SH","500ETF","2014-10-15","1.4000","1.3940"
"510500.SH","500ETF","2014-10-16","1.3790","1.4000"
"510500.SH","500ETF","2014-10-17","1.3650","1.3790"
"510500.SH","500ETF","2014-10-20","1.3840","1.3650"
"510500.SH","500ETF","2014-10-21","1.3710","1.3840"
"510500.SH","500ETF","2014-10-22","1.3540","1.3710"
"510500.SH","500ETF","2014-10-23","1.3370","1.3540"
"510500.SH","500ETF","2014-10-24","1.3410","1.3370"
"510500.SH","500ETF","2014-10-27","1.3510","1.3410"
"510500.SH","500ETF","2014-10-28","1.3830","1.3510"
"510500.SH","500ETF","2014-10-29","1.4040","1.3830"
"510500.SH","500ETF","2014-10-30","1.4010","1.4040"
"510500.SH","500ETF","2014-10-31","1.4020","1.4010"
"510500.SH","500ETF","2014-11-03","1.4130","1.4020"
"510500.SH","500ETF","2014-11-04","1.4050","1.4130"
"510500.SH","500ETF","2014-11-05","1.4030","1.4050"
"510500.SH","500ETF","2014-11-06","1.4130","1.4030"
"510500.SH","500ETF","2014-11-07","1.3980","1.4130"
"510500.SH","500ETF","2014-11-10","1.4130","1.3980"
"510500.SH","500ETF","2014-11-11","1.3700","1.4130"
"510500.SH","500ETF","2014-11-12","1.3930","1.3700"
"510500.SH","500ETF","2014-11-13","1.3820","1.3930"
"510500.SH","500ETF","2014-11-14","1.3780","1.3820"
"510500.SH","500ETF","2014-11-17","1.3930","1.3780"
"510500.SH","500ETF","2014-11-18","1.3920","1.3930"
"510500.SH","500ETF","2014-11-19","1.3990","1.3920"
"510500.SH","500ETF","2014-11-20","1.3970","1.3990"
"510500.SH","500ETF","2014-11-21","1.4130","1.3970"
"510500.SH","500ETF","2014-11-24","1.4360","1.4130"
"510500.SH","500ETF","2014-11-25","1.4570","1.4360"
"510500.SH","500ETF","2014-11-26","1.4620","1.4570"
"510500.SH","500ETF","2014-11-27","1.4740","1.4620"
"510500.SH","500ETF","2014-11-28","1.4690","1.4740"
"510500.SH","500ETF","2014-12-01","1.4620","1.4690"
"510500.SH","500ETF","2014-12-02","1.4810","1.4620"
"510500.SH","500ETF","2014-12-03","1.5000","1.4810"
"510500.SH","500ETF","2014-12-04","1.5300","1.5000"
"510500.SH","500ETF","2014-12-05","1.4990","1.5300"
"510500.SH","500ETF","2014-12-08","1.5190","1.4990"
"510500.SH","500ETF","2014-12-09","1.4570","1.5190"
"510500.SH","500ETF","2014-12-10","1.5140","1.4570"
"510500.SH","500ETF","2014-12-11","1.5330","1.5140"
"510500.SH","500ETF","2014-12-12","1.5420","1.5330"
"510500.SH","500ETF","2014-12-15","1.5670","1.5420"
"510500.SH","500ETF","2014-12-16","1.5700","1.5670"
"510500.SH","500ETF","2014-12-17","1.5580","1.5700"
"510500.SH","500ETF","2014-12-18","1.5620","1.5580"
"510500.SH","500ETF","2014-12-19","1.5480","1.5620"
"510500.SH","500ETF","2014-12-22","1.4890","1.5480"
"510500.SH","500ETF","2014-12-23","1.4560","1.4890"
"510500.SH","500ETF","2014-12-24","1.4750","1.4560"
"510500.SH","500ETF","2014-12-25","1.5040","1.4750"
"510500.SH","500ETF","2014-12-26","1.5190","1.5040"
"510500.SH","500ETF","2014-12-29","1.4960","1.5190"
"510500.SH","500ETF","2014-12-30","1.4700","1.4960"
"510500.SH","500ETF","2014-12-31","1.4890","1.4700"
"510500.SH","500ETF","2015-01-05","1.5130","1.4890"
"510500.SH","500ETF","2015-01-06","1.5360","1.5130"
"510500.SH","500ETF","2015-01-07","1.5370","1.5360"
"510500.SH","500ETF","2015-01-08","1.5230","1.5370"
"510500.SH","500ETF","2015-01-09","1.5150","1.5230"
"510500.SH","500ETF","2015-01-12","1.4930","1.5150"
"510500.SH","500ETF","2015-01-13","1.5140","1.4930"
"510500.SH","500ETF","2015-01-14","1.5080","1.5140"
"510500.SH","500ETF","2015-01-15","1.5330","1.5080"
"510500.SH","500ETF","2015-01-16","1.5470","1.5330"
"510500.SH","500ETF","2015-01-19","1.4800","1.5470"
"510500.SH","500ETF","2015-01-20","1.5320","1.4800"
"510500.SH","500ETF","2015-01-21","1.5700","1.5320"
"510500.SH","500ETF","2015-01-22","1.5960","1.5700"
"510500.SH","500ETF","2015-01-23","1.5810","1.5960"
"510500.SH","500ETF","2015-01-26","1.6150","1.5810"
"510500.SH","500ETF","2015-01-27","1.5849","1.5810"
"510500.SH","500ETF","2015-01-28","1.5771","1.5849"
"510500.SH","500ETF","2015-01-29","1.5673","1.5771"
"510500.SH","500ETF","2015-01-30","1.5487","1.5673"
"510500.SH","500ETF","2015-02-02","1.5418","1.5487"
"510500.SH","500ETF","2015-02-03","1.5702","1.5418"
"510500.SH","500ETF","2015-02-04","1.5624","1.5702"
"510500.SH","500ETF","2015-02-05","1.5516","1.5624"
"510500.SH","500ETF","2015-02-06","1.5213","1.5516"
"510500.SH","500ETF","2015-02-09","1.5125","1.5213"
