"代码","简称","时间","收盘价(元)","前收盘价(元)"
"518880.SH","黄金ETF","2013-08-02","2.5780","2.6490"
"518880.SH","黄金ETF","2013-08-09","2.6160","2.5780"
"518880.SH","黄金ETF","2013-08-16","2.7120","2.6160"
"518880.SH","黄金ETF","2013-08-23","2.7330","2.7120"
"518880.SH","黄金ETF","2013-08-30","2.7870","2.7330"
"518880.SH","黄金ETF","2013-09-06","2.7250","2.7870"
"518880.SH","黄金ETF","2013-09-13","2.6220","2.7250"
"518880.SH","黄金ETF","2013-09-18","2.5890","2.6220"
"518880.SH","黄金ETF","2013-09-27","2.6220","2.5890"
"518880.SH","黄金ETF","2013-09-30","2.6490","2.6220"
"518880.SH","黄金ETF","2013-10-11","2.5690","2.6490"
"518880.SH","黄金ETF","2013-10-18","2.6050","2.5690"
"518880.SH","黄金ETF","2013-10-25","2.6190","2.6050"
"518880.SH","黄金ETF","2013-11-01","2.6020","2.6190"
"518880.SH","黄金ETF","2013-11-08","2.5730","2.6020"
"518880.SH","黄金ETF","2013-11-15","2.5260","2.5730"
"518880.SH","黄金ETF","2013-11-22","2.4580","2.5260"
"518880.SH","黄金ETF","2013-11-29","2.4430","2.4580"
"518880.SH","黄金ETF","2013-12-06","2.4180","2.4430"
"518880.SH","黄金ETF","2013-12-13","2.4100","2.4180"
"518880.SH","黄金ETF","2013-12-20","2.3420","2.4100"
"518880.SH","黄金ETF","2013-12-27","2.4010","2.3420"
"518880.SH","黄金ETF","2014-01-03","2.4240","2.4010"
"518880.SH","黄金ETF","2014-01-10","2.4280","2.4240"
"518880.SH","黄金ETF","2014-01-17","2.4350","2.4280"
"518880.SH","黄金ETF","2014-01-24","2.4600","2.4350"
"518880.SH","黄金ETF","2014-01-30","2.4610","2.4600"
"518880.SH","黄金ETF","2014-02-07","2.4800","2.4610"
"518880.SH","黄金ETF","2014-02-14","2.5520","2.4800"
"518880.SH","黄金ETF","2014-02-21","2.5820","2.5520"
"518880.SH","黄金ETF","2014-02-28","2.6210","2.5820"
"518880.SH","黄金ETF","2014-03-07","2.6490","2.6210"
"518880.SH","黄金ETF","2014-03-14","2.6920","2.6490"
"518880.SH","黄金ETF","2014-03-21","2.6470","2.6920"
"518880.SH","黄金ETF","2014-03-28","2.5880","2.6470"
"518880.SH","黄金ETF","2014-04-04","2.5640","2.5880"
"518880.SH","黄金ETF","2014-04-11","2.6200","2.5640"
"518880.SH","黄金ETF","2014-04-18","2.5790","2.6200"
"518880.SH","黄金ETF","2014-04-25","2.5900","2.5790"
"518880.SH","黄金ETF","2014-04-30","2.6120","2.5900"
"518880.SH","黄金ETF","2014-05-09","2.5880","2.6120"
"518880.SH","黄金ETF","2014-05-16","2.5940","2.5880"
"518880.SH","黄金ETF","2014-05-23","2.5970","2.5940"
"518880.SH","黄金ETF","2014-05-30","2.5350","2.5970"
"518880.SH","黄金ETF","2014-06-06","2.5300","2.5350"
"518880.SH","黄金ETF","2014-06-13","2.5440","2.5300"
"518880.SH","黄金ETF","2014-06-20","2.6270","2.5440"
"518880.SH","黄金ETF","2014-06-27","2.6340","2.6270"
"518880.SH","黄金ETF","2014-07-04","2.6350","2.6340"
"518880.SH","黄金ETF","2014-07-11","2.6690","2.6350"
"518880.SH","黄金ETF","2014-07-18","2.6200","2.6690"
"518880.SH","黄金ETF","2014-07-25","2.5790","2.6200"
"518880.SH","黄金ETF","2014-08-01","2.5600","2.5790"
"518880.SH","黄金ETF","2014-08-08","2.6160","2.5600"
"518880.SH","黄金ETF","2014-08-15","2.5990","2.6160"
"518880.SH","黄金ETF","2014-08-22","2.5440","2.5990"
"518880.SH","黄金ETF","2014-08-29","2.5540","2.5440"
"518880.SH","黄金ETF","2014-09-05","2.5160","2.5540"
"518880.SH","黄金ETF","2014-09-12","2.4640","2.5160"
"518880.SH","黄金ETF","2014-09-19","2.4340","2.4640"
"518880.SH","黄金ETF","2014-09-26","2.4290","2.4340"
"518880.SH","黄金ETF","2014-09-30","2.4290","2.4290"
"518880.SH","黄金ETF","2014-10-10","2.4240","2.4290"
"518880.SH","黄金ETF","2014-10-17","2.4490","2.4240"
"518880.SH","黄金ETF","2014-10-24","2.4310","2.4490"
"518880.SH","黄金ETF","2014-10-31","2.3490","2.4310"
"518880.SH","黄金ETF","2014-11-07","2.2580","2.3490"
"518880.SH","黄金ETF","2014-11-14","2.2820","2.2580"
"518880.SH","黄金ETF","2014-11-21","2.3490","2.2820"
"518880.SH","黄金ETF","2014-11-28","2.3530","2.3490"
"518880.SH","黄金ETF","2014-12-05","2.3940","2.3530"
"518880.SH","黄金ETF","2014-12-12","2.4340","2.3940"
"518880.SH","黄金ETF","2014-12-19","2.4140","2.4340"
"518880.SH","黄金ETF","2014-12-26","2.3860","2.4140"
"518880.SH","黄金ETF","2014-12-31","2.4120","2.3860"
"518880.SH","黄金ETF","2015-01-09","2.4390","2.4120"
"518880.SH","黄金ETF","2015-01-16","2.5180","2.4390"
"518880.SH","黄金ETF","2015-01-23","2.6070","2.5180"
"518880.SH","黄金ETF","2015-01-30","2.5401","2.6070"
"518880.SH","黄金ETF","2015-02-06","2.5620","2.5401"
"518880.SH","黄金ETF","2015-02-13","2.4941","2.5620"
"518880.SH","黄金ETF","2015-02-17","2.4861","2.4941"
"518880.SH","黄金ETF","2015-02-27","2.4631","2.4861"
"518880.SH","黄金ETF","2015-03-06","2.4371","2.4631"
"518880.SH","黄金ETF","2015-03-13","2.3572","2.4371"
"518880.SH","黄金ETF","2015-03-20","2.3522","2.3572"
"518880.SH","黄金ETF","2015-03-27","2.4042","2.3522"
"518880.SH","黄金ETF","2015-04-03","2.3902","2.4042"
"518880.SH","黄金ETF","2015-04-10","2.3822","2.3902"
"518880.SH","黄金ETF","2015-04-17","2.3932","2.3822"
"518880.SH","黄金ETF","2015-04-24","2.3972","2.3932"
"518880.SH","黄金ETF","2015-04-30","2.4072","2.3972"
"518880.SH","黄金ETF","2015-05-08","2.3672","2.4072"
"518880.SH","黄金ETF","2015-05-15","2.4231","2.3672"
"518880.SH","黄金ETF","2015-05-22","2.4092","2.4231"
"518880.SH","黄金ETF","2015-05-29","2.3792","2.4092"
"518880.SH","黄金ETF","2015-06-05","2.3662","2.3792"
"518880.SH","黄金ETF","2015-06-12","2.3732","2.3662"
"518880.SH","黄金ETF","2015-06-19","2.3622","2.3732"
"518880.SH","黄金ETF","2015-06-26","2.3512","2.3622"
"518880.SH","黄金ETF","2015-07-03","2.3102","2.3512"
"518880.SH","黄金ETF","2015-07-10","2.2992","2.3102"
"518880.SH","黄金ETF","2015-07-17","2.2972","2.2992"
"518880.SH","黄金ETF","2015-07-24","2.1843","2.2972"
"518880.SH","黄金ETF","2015-07-31","2.1653","2.1843"
"518880.SH","黄金ETF","2015-08-07","2.1853","2.1653"
"518880.SH","黄金ETF","2015-08-14","2.2972","2.1853"
"518880.SH","黄金ETF","2015-08-21","2.3882","2.2972"
"518880.SH","黄金ETF","2015-08-28","2.3312","2.3882"
"518880.SH","黄金ETF","2015-09-02","2.3492","2.3312"
"518880.SH","黄金ETF","2015-09-11","2.2852","2.3492"
"518880.SH","黄金ETF","2015-09-18","2.3162","2.2852"
"518880.SH","黄金ETF","2015-09-25","2.3572","2.3162"
"518880.SH","黄金ETF","2015-09-30","2.3122","2.3572"
"518880.SH","黄金ETF","2015-10-09","2.3482","2.3122"
"518880.SH","黄金ETF","2015-10-16","2.4002","2.3482"
"518880.SH","黄金ETF","2015-10-23","2.4012","2.4002"
"518880.SH","黄金ETF","2015-10-30","2.3492","2.4012"
"518880.SH","黄金ETF","2015-11-06","2.2803","2.3492"
"518880.SH","黄金ETF","2015-11-13","2.2283","2.2803"
"518880.SH","黄金ETF","2015-11-20","2.2323","2.2283"
"518880.SH","黄金ETF","2015-11-27","2.2043","2.2323"
"518880.SH","黄金ETF","2015-12-04","2.1983","2.2043"
"518880.SH","黄金ETF","2015-12-11","2.2283","2.1983"
"518880.SH","黄金ETF","2015-12-18","2.2153","2.2283"
"518880.SH","黄金ETF","2015-12-25","2.2483","2.2153"
"518880.SH","黄金ETF","2015-12-31","2.2303","2.2483"
"518880.SH","黄金ETF","2016-01-08","2.3362","2.2303"
"518880.SH","黄金ETF","2016-01-15","2.3022","2.3362"
"518880.SH","黄金ETF","2016-01-22","2.3332","2.3022"
"518880.SH","黄金ETF","2016-01-29","2.3612","2.3332"
"518880.SH","黄金ETF","2016-02-05","2.4491","2.3612"
"518880.SH","黄金ETF","2016-02-19","2.5720","2.4491"
"518880.SH","黄金ETF","2016-02-26","2.6100","2.5720"
"518880.SH","黄金ETF","2016-03-04","2.6490","2.6100"
"518880.SH","黄金ETF","2016-03-11","2.6490","2.6490"
"518880.SH","黄金ETF","2016-03-18","2.6150","2.6490"
"518880.SH","黄金ETF","2016-03-25","2.5470","2.6150"
"518880.SH","黄金ETF","2016-04-01","2.5620","2.5470"
"518880.SH","黄金ETF","2016-04-08","2.5680","2.5620"
"518880.SH","黄金ETF","2016-04-15","2.5600","2.5680"
"518880.SH","黄金ETF","2016-04-22","2.5900","2.5600"
"518880.SH","黄金ETF","2016-04-29","2.6580","2.5900"
"518880.SH","黄金ETF","2016-05-06","2.6779","2.6580"
"518880.SH","黄金ETF","2016-05-13","2.6799","2.6779"
"518880.SH","黄金ETF","2016-05-20","2.6360","2.6799"
"518880.SH","黄金ETF","2016-05-27","2.5780","2.6360"
