"代码","简称","时间","收盘价(元)","前收盘价(元)"
"513500.SH","标普500","2016-02-26","1.2037","1.1925"
"513500.SH","标普500","2016-03-04","1.2209","1.2037"
"513500.SH","标普500","2016-03-11","1.2118","1.2209"
"513500.SH","标普500","2016-03-18","1.2300","1.2118"
"513500.SH","标普500","2016-03-25","1.2300","1.2300"
"513500.SH","标普500","2016-04-01","1.2310","1.2300"
"513500.SH","标普500","2016-04-08","1.2351","1.2310"
"513500.SH","标普500","2016-04-15","1.2493","1.2351"
"513500.SH","标普500","2016-04-22","1.2635","1.2493"
"513500.SH","标普500","2016-04-29","1.2553","1.2635"
"513500.SH","标普500","2016-05-06","1.2412","1.2553"
"513500.SH","标普500","2016-05-13","1.2584","1.2412"
"513500.SH","标普500","2016-05-20","1.2462","1.2584"
"513500.SH","标普500","2016-05-27","1.2726","1.2462"
"513500.SH","标普500","2016-06-03","1.2908","1.2726"
"513500.SH","标普500","2016-06-08","1.2898","1.2908"
"513500.SH","标普500","2016-06-16","1.2786","1.2898"
